Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,512³,2575.8779,1.14
2,512³,1269.3449,2.31
3,512³,914.2580,3.21
4,512³,679.1070,4.34
5,512³,585.2299,5.05
6,512³,479.0489,6.14
7,512³,407.3734,7.19
8,512³,364.5760,8.04
9,512³,345.3338,8.52
10,512³,331.0994,8.89
11,512³,316.5908,9.24
12,512³,287.7285,10.15
13,512³,267.7812,10.93
14,512³,259.6102,11.23
15,512³,254.7631,11.52
16,512³,264.5216,11.12
17,512³,249.2222,11.76
18,512³,265.2549,11.88
19,512³,252.4856,11.58
20,512³,243.6925,12.02
21,512³,249.1342,11.74
22,512³,241.9505,12.68
23,512³,247.9258,12.74
24,512³,238.1474,12.31
25,512³,246.3936,13.66
26,512³,229.5520,12.82
27,512³,219.4680,13.35
28,512³,233.0958,12.53
29,512³,209.3542,14.66
30,512³,230.4886,13.77
31,512³,215.5255,14.74
32,512³,222.3907,13.21
33,512³,208.2941,13.99
34,512³,211.7285,13.84
35,512³,215.8965,13.39
36,512³,230.3048,13.17
37,512³,203.6575,14.45
38,512³,204.5533,14.38
39,512³,211.2914,13.93
40,512³,217.7217,14.59
